MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2,Calories,Protein(g),Carbs(g),Fat(g)
1,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,1546,149,169,34
2,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả chuối,1745,134,179,46
3,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối,1652,160,179,44
4,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo,1765,120,138,45
5,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,1 quả chuối,1730,149,153,38
6,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Sữa tách béo,1646,134,134,42
7,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,1600,147,144,43
8,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả táo,1616,151,127,42
9,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,Hạnh nhân rang,1676,126,140,50
10,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Bò hầm + khoai tây,1 quả táo,1729,138,151,33
11,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Hạnh nhân rang,1539,150,131,37
12,Sữa đậu nành + khoai lang luộc,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang,1584,146,144,49
13,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo,1533,149,163,39
