Mon,Calories,Protein_g,Carbs_g,Fat_g
Yến mạch (40g),68.04344098313804,4.4,21.6,2.4
Sữa chua Hy Lạp (100g),26.068591026007432,8.0,2.88,0.3200000000000001
Chuối (1 quả),39.32380680194341,0.8800000000000001,18.4,0.24
Bánh mì đen (1 lát),39.76564732780795,2.8,12.8,0.8
Trứng ốp la (1 quả),39.76564732780795,4.800000000000001,0.3200000000000001,5.600000000000001
Sữa tách béo (200ml),30.92883681051729,5.600000000000001,8.0,0.16
Sữa đậu nành (200ml),35.34724206916262,5.600000000000001,3.2,3.2
Khoai lang luộc (100g),37.998285224349814,1.28,16.0,0.08
Trứng luộc (1 quả),34.02172049156902,5.04,0.48,4.24
Táo (1 quả),34.46356101743356,0.3200000000000001,16.8,0.16
Hạnh nhân (15g),38.44012575021435,2.56,2.4,6.0
Cơm gạo lứt (100g),54.346384681337526,2.16,20.8,0.8
Ức gà nướng (100g),72.9036867676479,24.8,0.0,2.88
Salad rau củ (100g),17.67362103458131,1.2,6.4,0.4
Cơm trắng (100g),57.43926836238926,1.92,22.4,0.24
Cá hồi áp chảo (100g),91.9028293798228,16.0,0.0,10.4
Rau củ luộc (100g),15.464418405258645,1.6,5.600000000000001,0.24
Bò xào rau cải (100g),79.5312946556159,16.0,4.800000000000001,6.4
Mì soba (100g chín),43.74221206058874,4.0,16.8,0.08
Đậu phụ (100g),33.579879965704485,6.4,1.6,3.2
Rau chân vịt (100g),10.162332094884253,2.32,2.88,0.3200000000000001
Việt quất (100g),25.184909974278366,0.5599999999999999,11.2,0.24
Bơ đậu phộng (16g),41.53300943126608,2.8,2.4,6.4
Hạt điều (15g),36.23092312089169,2.0,3.6,5.2
Nho (100g),30.48699628465276,0.5599999999999999,14.4,0.16
Sinh tố chuối + yến mạch (200ml),79.5312946556159,4.800000000000001,25.6,2.4
Cá thu nướng (100g),101.62332094884253,16.0,0.0,12.0
Rau xanh (100g),13.697056301800515,1.6,4.800000000000001,0.24
Ức gà áp chảo (100g),70.69448413832524,24.0,0.0,2.4
Bí đỏ (100g),11.48785367247785,0.8,5.600000000000001,0.08
Đậu phụ sốt cà (100g),39.76564732780795,4.800000000000001,5.600000000000001,3.2
Súp lơ (100g),15.022577879394113,2.4,5.600000000000001,0.3200000000000001
Bò hầm (100g),92.78651043155187,17.6,4.0,9.6
Khoai tây (100g),34.02172049156902,1.6,13.6,0.08
Sinh tố chuối (200ml),53.02086310374393,1.6,24.0,0.4
