Mon,Calories,Protein_g,Carbs_g,Fat_g
Yến mạch (40g),95.24321234638468,5.5,27.0,3.0
Sữa chua Hy Lạp (100g),36.48928265218634,10.0,3.6,0.4
Chuối (1 quả),55.04315518719634,1.1,23.0,0.3
Bánh mì đen (1 lát),55.66161760503,3.5,16.0,1.0
Trứng ốp la (1 quả),55.66161760503,6.0,0.4,7.0
Sữa tách béo (200ml),43.29236924835667,7.0,10.0,0.2
Sữa đậu nành (200ml),49.47699342669334,7.0,4.0,4.0
Khoai lang luộc (100g),53.18776793369534,1.6,20.0,0.1
Trứng luộc (1 quả),47.62160617319234,6.3,0.6,5.3
Táo (1 quả),48.240068591026,0.4,21.0,0.2
Hạnh nhân (15g),53.806230351529,3.2,3.0,7.5
Cơm gạo lứt (100g),76.07087739354101,2.7,26.0,1.0
Ức gà nướng (100g),102.04629894255501,31.0,0.0,3.6
Salad rau củ (100g),24.73849671334667,1.5,8.0,0.5
Cơm trắng (100g),80.40011431837668,2.4,28.0,0.3
Cá hồi áp chảo (100g),128.64018290940268,20.0,0.0,13.0
Rau củ luộc (100g),21.646184624178336,2.0,7.0,0.3
Bò xào rau cải (100g),111.32323521006,20.0,6.0,8.0
Mì soba (100g chín),61.22777936553301,5.0,21.0,0.1
Đậu phụ (100g),47.00314375535867,8.0,2.0,4.0
Rau chân vịt (100g),14.224635610174335,2.9,3.6,0.4
Việt quất (100g),35.252357816519,0.7,14.0,0.3
Bơ đậu phộng (16g),58.13546727636467,3.5,3.0,8.0
Hạt điều (15g),50.71391826236067,2.5,4.5,6.5
Nho (100g),42.673906830523,0.7,18.0,0.2
Sinh tố chuối + yến mạch (200ml),111.32323521006,6.0,32.0,3.0
Cá thu nướng (100g),142.24635610174334,20.0,0.0,15.0
Rau xanh (100g),19.17233495284367,2.0,6.0,0.3
Ức gà áp chảo (100g),98.95398685338668,30.0,0.0,3.0
Bí đỏ (100g),16.080022863675335,1.0,7.0,0.1
Đậu phụ sốt cà (100g),55.66161760503,6.0,7.0,4.0
Súp lơ (100g),21.02772220634467,3.0,7.0,0.4
Bò hầm (100g),129.87710774507002,22.0,5.0,12.0
Khoai tây (100g),47.62160617319234,2.0,17.0,0.1
Sinh tố chuối (200ml),74.21549014004,2.0,30.0,0.5
