MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2,Calories,Protein(g),Carbs(g),Fat(g)
1,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả táo,2426,186,263,71
2,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,Sữa tách béo,2825,172,264,68
3,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả táo,2580,194,286,78
4,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Bò hầm + khoai tây,Hạnh nhân rang,2570,188,340,70
5,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2525,159,319,53
6,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo,2335,158,292,55
7,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả chuối,2501,188,304,50
8,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,2744,162,319,74
9,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2566,169,345,55
10,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối,2594,170,277,68
11,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Bò hầm + khoai tây,Sữa tách béo,2651,164,254,66
12,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang,2867,196,305,50
13,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả táo,2828,165,285,74
14,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Sữa tách béo,2503,159,255,70
15,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Hạnh nhân rang,2581,169,270,73
16,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Sữa tách béo,2426,199,325,60
17,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Sữa tách béo,2422,156,306,69
18,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Hạnh nhân rang,2803,169,266,79
19,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,1 quả chuối,2769,170,303,57
20,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo,2828,161,277,57
21,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Hạnh nhân rang,2495,186,317,60
22,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo,2979,174,338,65
23,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,Sữa tách béo,2308,150,255,62
24,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,1 quả táo,2884,197,308,59
25,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2960,197,272,68
26,Bánh mì đen + trứng ốp la + sữa tách béo,Khoai lang + bò xào rau cải,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,1 quả táo,2916,159,312,65
27,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang,2875,190,328,73
28,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,Sữa tách béo,2783,160,290,69
29,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,Sữa tách béo,2475,177,271,68
