Mon,Calories,Protein_g,Carbs_g,Fat_g
Yến mạch (40g),184.8,6.6,32.4,3.6
Sữa chua Hy Lạp (100g),70.8,12.0,4.32,0.48
Chuối (1 quả),106.8,1.32,27.6,0.36
Bánh mì đen (1 lát),108.0,4.2,19.2,1.2
Trứng ốp la (1 quả),108.0,7.199999999999999,0.48,8.4
Sữa tách béo (200ml),84.0,8.4,12.0,0.24
Sữa đậu nành (200ml),96.0,8.4,4.8,4.8
Khoai lang luộc (100g),103.2,1.92,24.0,0.12
Trứng luộc (1 quả),92.39999999999999,7.56,0.72,6.359999999999999
Táo (1 quả),93.6,0.48,25.2,0.24
Hạnh nhân (15g),104.4,3.84,3.6,9.0
Cơm gạo lứt (100g),147.6,3.24,31.2,1.2
Ức gà nướng (100g),198.0,37.2,0.0,4.32
Salad rau củ (100g),48.0,1.8,9.6,0.6
Cơm trắng (100g),156.0,2.88,33.6,0.36
Cá hồi áp chảo (100g),249.6,24.0,0.0,15.6
Rau củ luộc (100g),42.0,2.4,8.4,0.36
Bò xào rau cải (100g),216.0,24.0,7.199999999999999,9.6
Mì soba (100g chín),118.8,6.0,25.2,0.12
Đậu phụ (100g),91.2,9.6,2.4,4.8
Rau chân vịt (100g),27.6,3.48,4.32,0.48
Việt quất (100g),68.39999999999999,0.84,16.8,0.36
Bơ đậu phộng (16g),112.8,4.2,3.6,9.6
Hạt điều (15g),98.39999999999999,3.0,5.399999999999999,7.8
Nho (100g),82.8,0.84,21.6,0.24
Sinh tố chuối + yến mạch (200ml),216.0,7.199999999999999,38.4,3.6
Cá thu nướng (100g),276.0,24.0,0.0,18.0
Rau xanh (100g),37.2,2.4,7.199999999999999,0.36
Ức gà áp chảo (100g),192.0,36.0,0.0,3.6
Bí đỏ (100g),31.2,1.2,8.4,0.12
Đậu phụ sốt cà (100g),108.0,7.199999999999999,8.4,4.8
Súp lơ (100g),40.8,3.6,8.4,0.48
Bò hầm (100g),252.0,26.4,6.0,14.4
Khoai tây (100g),92.39999999999999,2.4,20.4,0.12
Sinh tố chuối (200ml),144.0,2.4,36.0,0.6
