MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2
1,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,1 quả táo
2,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Đậu phụ sốt cà + súp lơ,1 quả táo
3,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo
4,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Sữa tách béo
5,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
6,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,Sữa tách béo
7,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,Sữa tách béo
8,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả táo
9,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
10,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Hạnh nhân rang
11,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Bò hầm + khoai tây,Hạnh nhân rang
12,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
13,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,1 quả chuối
14,Trứng luộc + táo + hạnh nhân,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang
15,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Hạnh nhân rang
16,Sữa đậu nành + khoai lang luộc,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Sữa tách béo
17,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Hạt điều + nho,Ức gà áp chảo + bí đỏ,1 quả chuối
