MenuID,BuaSang,BuaTrua,BuaPhu1,BuaToi,BuaPhu2
1,Yến mạch + sữa chua Hy Lạp + chuối,Khoai lang + bò xào rau cải,Hạt điều + nho,Bò hầm + khoai tây,1 quả táo
2,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
3,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Hạt điều + nho,Cá thu nướng + rau xanh,Sữa tách béo
4,Yến mạch + sữa chua Hy Lạp + chuối,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Ức gà áp chảo + bí đỏ,Hạnh nhân rang
5,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,1 quả chuối
6,Bánh mì đen + trứng ốp la + sữa tách béo,Mì soba + đậu phụ + rau chân vịt,Sinh tố chuối + yến mạch,Ức gà áp chảo + bí đỏ,1 quả táo
7,Trứng luộc + táo + hạnh nhân,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,1 quả táo
8,Trứng luộc + táo + hạnh nhân,Mì soba + đậu phụ + rau chân vịt,Sữa chua Hy Lạp + việt quất,Đậu phụ sốt cà + súp lơ,1 quả chuối
9,Sữa đậu nành + khoai lang luộc,Cơm trắng + cá hồi áp chảo + rau củ,Táo + bơ đậu phộng,Bò hầm + khoai tây,Hạnh nhân rang
10,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Cá thu nướng + rau xanh,1 quả táo
11,Trứng luộc + táo + hạnh nhân,Khoai lang + bò xào rau cải,Sinh tố chuối + yến mạch,Đậu phụ sốt cà + súp lơ,Sữa tách béo
12,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm trắng + cá hồi áp chảo + rau củ,Sữa chua Hy Lạp + việt quất,Bò hầm + khoai tây,Hạnh nhân rang
13,Yến mạch + sữa chua Hy Lạp + chuối,Cơm gạo lứt + ức gà nướng + salad,Hạt điều + nho,Cá thu nướng + rau xanh,1 quả táo
14,Yến mạch + sữa chua Hy Lạp + chuối,Cơm trắng + cá hồi áp chảo + rau củ,Sinh tố chuối + yến mạch,Cá thu nướng + rau xanh,Sữa tách béo
15,Bánh mì đen + trứng ốp la + sữa tách béo,Cơm gạo lứt + ức gà nướng + salad,Táo + bơ đậu phộng,Cá thu nướng + rau xanh,Sữa tách béo
16,Sữa đậu nành + khoai lang luộc,Khoai lang + bò xào rau cải,Hạt điều + nho,Đậu phụ sốt cà + súp lơ,Hạnh nhân rang
